Date,Open,High,Low,Close
2/22/2021,"3,885.55","3,902.92","3,874.71","3,876.50"
2/19/2021,"3,921.16","3,930.41","3,903.07","3,906.71"
2/18/2021,"3,915.86","3,921.98","3,885.03","3,913.97"
2/17/2021,"3,918.50","3,933.61","3,900.43","3,931.33"
2/16/2021,"3,939.61","3,950.43","3,923.85","3,932.59"
2/12/2021,"3,911.65","3,937.23","3,905.78","3,934.83"
2/11/2021,"3,916.40","3,925.99","3,890.39","3,916.38"
2/10/2021,"3,920.78","3,931.50","3,884.94","3,909.88"
2/9/2021,"3,910.49","3,918.35","3,902.64","3,911.23"
2/8/2021,"3,892.59","3,915.77","3,892.59","3,915.59"
2/5/2021,"3,878.30","3,894.56","3,874.93","3,886.83"
2/4/2021,"3,836.66","3,872.42","3,836.66","3,871.74"
2/3/2021,"3,840.27","3,847.51","3,816.68","3,830.17"
2/2/2021,"3,791.84","3,843.09","3,791.84","3,826.31"
2/1/2021,"3,731.17","3,784.32","3,725.62","3,773.86"
1/29/2021,"3,778.05","3,778.05","3,694.12","3,714.24"
1/28/2021,"3,755.75","3,830.50","3,755.75","3,787.38"
1/27/2021,"3,836.83","3,836.83","3,732.48","3,750.77"
1/26/2021,"3,862.96","3,870.90","3,847.78","3,849.62"
1/25/2021,"3,851.68","3,859.23","3,797.16","3,855.36"
1/22/2021,"3,844.24","3,852.31","3,830.41","3,841.47"
1/21/2021,"3,857.46","3,861.45","3,845.05","3,853.07"
1/20/2021,"3,816.22","3,859.75","3,816.22","3,851.85"
1/19/2021,"3,781.88","3,804.53","3,780.37","3,798.91"
1/15/2021,"3,788.73","3,788.73","3,749.62","3,768.25"
1/14/2021,"3,814.98","3,823.60","3,792.86","3,795.54"
1/13/2021,"3,802.23","3,820.96","3,791.50","3,809.84"
1/12/2021,"3,801.62","3,810.78","3,776.51","3,801.19"
1/11/2021,"3,803.14","3,817.86","3,789.02","3,799.61"
1/8/2021,"3,815.05","3,826.69","3,783.60","3,824.68"
1/7/2021,"3,764.71","3,811.55","3,764.71","3,803.79"
1/6/2021,"3,712.20","3,783.04","3,705.34","3,748.14"
1/5/2021,"3,698.02","3,737.83","3,695.07","3,726.86"
1/4/2021,"3,764.61","3,769.99","3,662.71","3,700.65"
12/31/2020,"3,733.27","3,760.20","3,726.88","3,756.07"
12/30/2020,"3,736.19","3,744.63","3,730.21","3,732.04"
12/29/2020,"3,750.01","3,756.12","3,723.31","3,727.04"
12/28/2020,"3,723.03","3,740.51","3,723.03","3,735.36"
12/24/2020,"3,694.03","3,703.82","3,689.32","3,703.06"
12/23/2020,"3,693.42","3,711.24","3,689.28","3,690.01"
12/22/2020,"3,698.08","3,698.26","3,676.16","3,687.26"
12/21/2020,"3,684.28","3,702.90","3,636.48","3,694.92"
12/18/2020,"3,722.39","3,726.70","3,685.84","3,709.41"
12/17/2020,"3,713.65","3,725.12","3,710.87","3,722.48"
12/16/2020,"3,696.25","3,711.27","3,688.57","3,701.17"
12/15/2020,"3,666.41","3,695.29","3,659.62","3,694.62"
12/14/2020,"3,675.27","3,697.61","3,645.84","3,647.49"
12/11/2020,"3,656.08","3,665.91","3,633.40","3,663.46"
12/10/2020,"3,659.13","3,678.49","3,645.18","3,668.10"
12/9/2020,"3,705.98","3,712.39","3,660.54","3,672.82"
12/8/2020,"3,683.05","3,708.45","3,678.83","3,702.25"
12/7/2020,"3,694.73","3,697.41","3,678.88","3,691.96"
12/4/2020,"3,670.94","3,699.20","3,670.94","3,699.12"
12/3/2020,"3,668.28","3,682.73","3,657.17","3,666.72"
12/2/2020,"3,653.78","3,670.96","3,644.84","3,669.01"
12/1/2020,"3,645.87","3,678.45","3,645.87","3,662.45"
11/30/2020,"3,634.18","3,634.18","3,594.39","3,621.63"
11/27/2020,"3,638.55","3,644.31","3,629.33","3,638.35"
11/25/2020,"3,635.50","3,635.50","3,617.76","3,629.65"
11/24/2020,"3,594.52","3,642.31","3,594.52","3,635.41"
11/23/2020,"3,566.82","3,589.81","3,552.77","3,577.59"
11/20/2020,"3,579.31","3,581.23","3,556.85","3,557.54"
